Campus,Sex,Area ID,Area,Career,Academic Degree,Students
CU,Hombre,2,Artes y humanidades,Lengua y literatura moderna (francesas),Licenciatura,43
CU,Hombre,2,Artes y humanidades,Arquitectura de interiores,Especialidad,8
CU,Hombre,2,Artes y humanidades,Lengua y literaturas modernas (letras portuguesas),Licenciatura,11
CU,Hombre,2,Artes y humanidades,Filosofía,Maestría,33
CU,Hombre,2,Artes y humanidades,Historia,Maestría,29
CU,Hombre,2,Artes y humanidades,Historia del arte,Maestría,32
CU,Hombre,2,Artes y humanidades,Filosofía de la ciencia,Doctorado,42
CU,Hombre,2,Artes y humanidades,Letras,Maestría,40
CU,Hombre,2,Artes y humanidades,Historia del arte,Maestría,53
CU,Hombre,2,Artes y humanidades,Lingüística hispánica,Maestría,9
CU,Hombre,2,Artes y humanidades,Estudios mesoamericanos,Maestría,10
CU,Hombre,2,Artes y humanidades,Letras,Maestría,24
CU,Hombre,2,Artes y humanidades,Diseño industrial,Maestría,13
CU,Hombre,2,Artes y humanidades,Lengua y literaturas modernas (letras portuguesas),Licenciatura,17
CU,Hombre,2,Artes y humanidades,Filosofía,Doctorado,69
CU,Hombre,2,Artes y humanidades,Lingüística hispánica,Maestría,9
CU,Hombre,2,Artes y humanidades,Lengua y literaturas modernas (italianas),Licenciatura,36
CU,Hombre,2,Artes y humanidades,Cine documental,Maestría,10
CU,Hombre,2,Artes y humanidades,Estudios latinoamericanos,Doctorado,64
CU,Hombre,2,Artes y humanidades,Filosofía,Doctorado,56
CU,Hombre,2,Artes y humanidades,Lingüística aplicada,Licenciatura,10
CU,Hombre,2,Artes y humanidades,Letras,Doctorado,30
CU,Hombre,2,Artes y humanidades,Lingüística aplicada,Maestría,7
CU,Hombre,2,Artes y humanidades,Música,Doctorado,24
CU,Hombre,2,Artes y humanidades,Lengua y literaturas modernas (alemanas),Licenciatura,22
CU,Hombre,2,Artes y humanidades,Estudios méxico-estados unidos,Maestría,4
CU,Hombre,2,Artes y humanidades,Historia,Doctorado,55
CU,Hombre,2,Artes y humanidades,Estudios mesoamericanos,Doctorado,32
CU,Hombre,2,Artes y humanidades,Estudios latinoamericanos,Maestría,32
CU,Hombre,2,Artes y humanidades,Estudios latinoamericanos,Licenciatura,201
CU,Hombre,2,Artes y humanidades,Arte y diseño,Doctorado,41
CU,Hombre,2,Artes y humanidades,Geohistoria,Licenciatura,39
CU,Hombre,2,Artes y humanidades,Letras clásicas,Licenciatura,162
CU,Hombre,2,Artes y humanidades,Filosofía de la ciencia,Doctorado,56
CU,Hombre,2,Artes y humanidades,Historia,Maestría,25
CU,Hombre,2,Artes y humanidades,Estudios latinoamericanos,Maestría,36
CU,Hombre,2,Artes y humanidades,Filosofía,Doctorado,60
CU,Hombre,2,Artes y humanidades,Historia del arte,Doctorado,33
CU,Hombre,2,Artes y humanidades,Historia del arte,Doctorado,25
CU,Hombre,2,Artes y humanidades,Lingüística,Doctorado,6
CU,Hombre,2,Artes y humanidades,Estudios mesoamericanos,Doctorado,44
CU,Hombre,2,Artes y humanidades,Diseño industrial,Maestría,19
CU,Hombre,2,Artes y humanidades,Historia,Licenciatura,773
CU,Hombre,2,Artes y humanidades,Filosofía de la ciencia,Doctorado,44
CU,Hombre,2,Artes y humanidades,Diseño industrial,Maestría,8
CU,Hombre,2,Artes y humanidades,Arte y diseño,Doctorado,42
CU,Hombre,2,Artes y humanidades,Estudios mesoamericanos,Maestría,9
CU,Hombre,2,Artes y humanidades,Estudios latinoamericanos,Maestría,28
CU,Hombre,2,Artes y humanidades,Estudios latinoamericanos,Maestría,33
CU,Hombre,2,Artes y humanidades,Literatura intercultural,Licenciatura,35
CU,Hombre,2,Artes y humanidades,Lengua y literatura moderna (inglesas),Licenciatura,122
CU,Hombre,2,Artes y humanidades,Diseño industrial,Maestría,11
CU,Hombre,2,Artes y humanidades,Estudios latinoamericanos,Licenciatura,211
CU,Hombre,2,Artes y humanidades,Lengua y literatura moderna (francesas),Licenciatura,45
CU,Hombre,2,Artes y humanidades,Estudios latinoamericanos,Licenciatura,215
