Institution ID,Institution,Campus ID,Campus,Sex ID,Sex,Area ID,Area,Career ID,Career,Academic Degree ID,Academic Degree,Students
604,Universidad Nacional Autónoma De México,60400001,"Escuela Nacional De Lenguas, Lingüística Y Traducción",2,Mujer,2,Artes y humanidades,a8464fed614017bb4cacd0c7d3ecd6ba3d04fa3a6e0f75dd7a18be818b3a9564,Licenciatura en lingüística aplicada,11,Licenciatura,58
604,Universidad Nacional Autónoma De México,60400001,"Escuela Nacional De Lenguas, Lingüística Y Traducción",2,Mujer,2,Artes y humanidades,d2997ef7501975117654b5766299acb416e44edf84ae5b6aa6b3cd3ef6efecfb,Licenciatura en traducción,11,Licenciatura,102
604,Universidad Nacional Autónoma De México,60400001,"Escuela Nacional De Lenguas, Lingüística Y Traducción",2,Mujer,2,Artes y humanidades,eebbab1c3c7952542c9f83230854adeb7650064fd9e9934455f3b574284cbea8,Especialidad en enseñanza de español como lengua extranjera,12,Especialidad,47
604,Universidad Nacional Autónoma De México,60400001,"Escuela Nacional De Lenguas, Lingüística Y Traducción",2,Mujer,2,Artes y humanidades,f54964223ffc665e160beed59855d03e41ac0c2433edb55feacb01373d4259e0,Maestría en lingüística aplicada,13,Maestría,10
604,Universidad Nacional Autónoma De México,60400002,Universidad Nacional Autónoma De México - Ciudad Universitaria,1,Hombre,1,Educación,01ed7e39b4ac9429df3d2b346aeb9cbcac954598afe6cc2387756d39903c8375,Maestría en docencia para la educación media superior: química,13,Maestría,11
604,Universidad Nacional Autónoma De México,60400002,Universidad Nacional Autónoma De México - Ciudad Universitaria,1,Hombre,1,Educación,030b6bb6ae4bb4cbe2a87d10babe44f3fad65e703b6e9afe630bbacaa8e7f112,Maestría en docencia para la educación media superior: ciencias sociales,13,Maestría,2
604,Universidad Nacional Autónoma De México,60400002,Universidad Nacional Autónoma De México - Ciudad Universitaria,1,Hombre,1,Educación,06b6788971cb67af14c6cf991bba42848603bd6e365dfd698eef98274629d8c1,Maestría en docencia para la educación media superior: matemáticas,13,Maestría,25
604,Universidad Nacional Autónoma De México,60400002,Universidad Nacional Autónoma De México - Ciudad Universitaria,1,Hombre,1,Educación,08795f8f821ec99b9caa8120d6ab42d76531818ada8e6720098ec215502e476f,Maestría en docencia para la educación media superior: biología,13,Maestría,20
604,Universidad Nacional Autónoma De México,60400002,Universidad Nacional Autónoma De México - Ciudad Universitaria,1,Hombre,1,Educación,08fedc1989b9718e6c0ecddcc6a28d970bdf27f4998a9dc5659f374d594791c1,Maestría en docencia para la educación media superior: geografía,13,Maestría,2
604,Universidad Nacional Autónoma De México,60400002,Universidad Nacional Autónoma De México - Ciudad Universitaria,1,Hombre,1,Educación,0a24797417c9931ac752b8f503a2127a69c5534b8c8e6bb59bcaa207eeb80168,Maestría en docencia para la educación media superior: español,13,Maestría,4
604,Universidad Nacional Autónoma De México,60400002,Universidad Nacional Autónoma De México - Ciudad Universitaria,1,Hombre,1,Educación,0a504a7b1d0478bbe1f0e546e37e93ba8c159f0f26224cac52c607c06b3358c9,Maestría en pedagogía,13,Maestría,54
604,Universidad Nacional Autónoma De México,60400002,Universidad Nacional Autónoma De México - Ciudad Universitaria,1,Hombre,1,Educación,0c8e4410c3513c60d6e7ea30a02d2fe193f05fb72601546ea5a570b8cfd03699,Maestría en docencia para la educación media superior: letras,13,Maestría,1
604,Universidad Nacional Autónoma De México,60400002,Universidad Nacional Autónoma De México - Ciudad Universitaria,1,Hombre,1,Educación,0d79898ae62f0e855ddd4b0e813a5f3af510982c6c5e4373b30aaa30ed49fb9e,Maestría en docencia para la educación media superior: geografía,13,Maestría,2
604,Universidad Nacional Autónoma De México,60400002,Universidad Nacional Autónoma De México - Ciudad Universitaria,1,Hombre,1,Educación,0eed16cf366fa4cb17a5a7b79dfd7cae05c767d85cc27df5f3c478755d784a6f,Maestría en pedagogía,13,Maestría,27
604,Universidad Nacional Autónoma De México,60400002,Universidad Nacional Autónoma De México - Ciudad Universitaria,1,Hombre,1,Educación,1439f80f8e61855ddfcd9469ae3b6f4b2c2c3932b1b28c9033e6c84c2f1355b1,Maestría en docencia para la educación media superior: español,13,Maestría,1
604,Universidad Nacional Autónoma De México,60400002,Universidad Nacional Autónoma De México - Ciudad Universitaria,1,Hombre,1,Educación,15ee6f1a6f21fe619ae7a7c814e155941c8a29cfd5b8fad359693df45bdf2666,Maestría en docencia para la educación media superior: física,13,Maestría,11
604,Universidad Nacional Autónoma De México,60400002,Universidad Nacional Autónoma De México - Ciudad Universitaria,1,Hombre,1,Educación,17a53036fd72ca5796479a5c9167625133b98c0aa588c966585266cffb668286,Maestría en docencia para la educación media superior: filosofía,13,Maestría,13
604,Universidad Nacional Autónoma De México,60400002,Universidad Nacional Autónoma De México - Ciudad Universitaria,1,Hombre,1,Educación,1c28c3bbc0e7acc72f5ecfd99b4c3fa6b60bff6a3c6a6d11fc6ef72fa6ab1453,Maestría en docencia para la educación media superior: historia,13,Maestría,3
604,Universidad Nacional Autónoma De México,60400002,Universidad Nacional Autónoma De México - Ciudad Universitaria,1,Hombre,1,Educación,1c793cecd2a6d38fb5aab9dbe25778f602f0c59b576a34aeec80c4509d5a8ca7,Maestría en docencia para la educación media superior: historia,13,Maestría,8
604,Universidad Nacional Autónoma De México,60400002,Universidad Nacional Autónoma De México - Ciudad Universitaria,1,Hombre,1,Educación,1d60c14d405507e53f9ec59e7b6ea64c4bdd17b18aa622cb84f990e144d6a9b3,Maestría en docencia para la educación media superior: inglés,13,Maestría,8
604,Universidad Nacional Autónoma De México,60400002,Universidad Nacional Autónoma De México - Ciudad Universitaria,1,Hombre,1,Educación,1f33aa9b905151db81f04a9d23c32d4a2fb65fa4e5d72236634ccd1a4414f3d9,Maestría en docencia para la educación media superior: ciencias sociales,13,Maestría,14
604,Universidad Nacional Autónoma De México,60400002,Universidad Nacional Autónoma De México - Ciudad Universitaria,1,Hombre,1,Educación,237883ff807d018112008b87d187ec0a941241433f70442d12a32195ad9d9bd9,Maestría en docencia para la educación media superior: matemáticas,13,Maestría,2
604,Universidad Nacional Autónoma De México,60400002,Universidad Nacional Autónoma De México - Ciudad Universitaria,1,Hombre,1,Educación,25f6e6b1cf1e7d44e239eb4874f969abc5bbaef141dc5a5c77148e9e7093f255,Maestría en docencia para la educación media superior: biología,13,Maestría,17
604,Universidad Nacional Autónoma De México,60400002,Universidad Nacional Autónoma De México - Ciudad Universitaria,1,Hombre,1,Educación,2d068b075833517cd4067258f4bef0bd1faeee21ca48badc883bdfe3a327f40d,Maestría en docencia para la educación media superior,13,Maestría,31
604,Universidad Nacional Autónoma De México,60400002,Universidad Nacional Autónoma De México - Ciudad Universitaria,1,Hombre,1,Educación,2fb17c7dcab651c098e4f89418b46ecad7592ccfed859c621933fd7b465df5da,Maestría en docencia para la educación media superior: física,13,Maestría,4
604,Universidad Nacional Autónoma De México,60400002,Universidad Nacional Autónoma De México - Ciudad Universitaria,1,Hombre,1,Educación,340868c9f460ecf57caeb155da762282a84542c180731686cdff94121138a6e3,Doctorado en pedagogía,14,Doctorado,35
604,Universidad Nacional Autónoma De México,60400002,Universidad Nacional Autónoma De México - Ciudad Universitaria,1,Hombre,1,Educación,3b77617d62175f679053b10ebcb8b28c64fb06f05947dd45b39e73e0244b533a,Maestría en docencia para la educación media superior: inglés,13,Maestría,10
604,Universidad Nacional Autónoma De México,60400002,Universidad Nacional Autónoma De México - Ciudad Universitaria,1,Hombre,1,Educación,3dec1e3ace1326f060e21658c6c1f803585ebde19efaf74285f22dbb8806f069,Maestría en docencia para la educación media superior: letras,13,Maestría,3
604,Universidad Nacional Autónoma De México,60400002,Universidad Nacional Autónoma De México - Ciudad Universitaria,1,Hombre,1,Educación,4246973edc141ccde2c04938c3d0d5756239d27a2f2ad2ebc935025a6daa998e,Maestría en docencia para la educación media superior: ciencias sociales,13,Maestría,13
604,Universidad Nacional Autónoma De México,60400002,Universidad Nacional Autónoma De México - Ciudad Universitaria,1,Hombre,1,Educación,4700d2db7f9e8acb87c097ee85d1d5d05452cec01fd3a2f6bb1c8bcb34f0165e,Maestría en pedagogía,13,Maestría,57
604,Universidad Nacional Autónoma De México,60400002,Universidad Nacional Autónoma De México - Ciudad Universitaria,1,Hombre,1,Educación,496765ef4a4336c0563c473df7c3f00969621d55971f7a98a434eaea80f939ae,Licenciatura en pedagogía,11,Licenciatura,604
604,Universidad Nacional Autónoma De México,60400002,Universidad Nacional Autónoma De México - Ciudad Universitaria,1,Hombre,1,Educación,4b7fc3374a1aeda5fbcbdd2b65318685f5677e2388112654ccd5ecf9829d7827,Doctorado en pedagogía,14,Doctorado,32
604,Universidad Nacional Autónoma De México,60400002,Universidad Nacional Autónoma De México - Ciudad Universitaria,1,Hombre,1,Educación,4cc50f115ce3ff9a9a77679cc8cc21aab58705d304e5bdf00a84354540f62f03,Maestría en docencia para la educación media superior: filosofía,13,Maestría,14
